model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S1-ADL4,9.65,5893,26364,34,0.029929630909330505,0.8152266551336319,0.03758410884806198,0.8160783721542687,0.0,0.0,0.0,0.0,0.4407721516818304
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S1-ADL5,8.94,5392,24102,36,0.05186453884956363,0.7775464121426616,0.05894491626215773,0.7785249807644324,0.0,0.0,0.0,0.0,0.4822011369625616
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S2-ADL1,2.49,7667,34238,36,0.02348382023635568,0.776272605213795,0.027463508957255474,0.7801938865851418,0.0,0.0,0.0,0.0,0.47075440087798076
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S2-ADL2,9.71,5567,24146,35,0.025533607732113377,0.7300736796322483,0.028110592507140972,0.7322954964439078,0.0026702269692923898,0.6412352406902816,0.005037783375314856,0.02750268161021009,0.3563973339079522
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S3-ADL3,4.42,4201,21374,34,0.04106514620887936,0.8073712641806771,0.04454693578086924,0.8083121661168887,0.0,0.0,0.0,0.0,0.3980677311051516
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S3-ADL4,6.29,3825,22145,35,0.04982024354947618,0.8149336077878734,0.054577818566983044,0.8167735843903868,0.002280501710376283,0.6777358490566038,0.004662004662004657,0.03715937422983138,0.35397078688528
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S3-ADL5,7.62,4238,21196,34,0.05698395512208231,0.8400545138343538,0.0626344967944991,0.8418797421887133,0.007398273736128237,0.7030497592295345,0.01595744680851062,0.03781305845484447,0.3960423406969323
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S4-ADL2,6.17,5330,22190,32,0.09368189558803072,0.8614380920209996,0.10242494485221613,0.8632052546203661,0.0017421602787456446,0.7304925290536801,0.0040899795501022455,0.05335463103198063,0.4358012758823028
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S4-ADL3,4.1,4259,20106,28,0.03665385658577429,0.7853645263800972,0.04045109854841745,0.7860948064298594,0.015132408575031526,0.6095406360424028,0.02643171806167398,0.0319936125866423,0.41750975061882944
LSTMAD,OPP,mtsbench,OPP/OPPORTUNITY_S4-ADL4,7.43,4090,17784,138,0.05693406347739131,0.8066860154875946,0.06436765139394225,0.8127628270376788,0.012004801920768308,0.6857142857142857,0.024630541871921156,0.04388588196319559,0.41420396510728175
